Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,CountDeclMethodAll,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,CountDeclClassMethod,CountDeclFile,CountDeclFunction,CountLineCode,RatioCommentToCode
File,OnSubscribeDeferTest.java,,,0,,,,2,0,,2,52,0.29
File,OnSubscribeDelaySubscription.java,,,4,,,,4,0,,3,32,0.63
File,OnSubscribeDelaySubscriptionOther.java,,,3,,,,7,0,,5,47,0.45
File,OnSubscribeDelaySubscriptionOtherTest.java,,,0,,,,17,0,,17,218,0.07
File,OnSubscribeDelaySubscriptionWithSelector.java,,,2,,,,6,0,,5,34,0.71
File,OnSubscribeDetach.java,,,6,,,,24,0,,14,110,0.3
File,OnSubscribeDetachTest.java,,,1,,,,8,0,,8,95,0.16
File,OnSubscribeDoOnEach.java,,,5,,,,12,0,,6,70,0.3
File,OnSubscribeDoOnEachTest.java,,,2,,,,43,0,,35,305,0.06
File,OnSubscribeFilter.java,,,5,,,,11,0,,7,68,0.31
File,OnSubscribeFilterTest.java,,,0,,,,20,0,,18,143,0.2
File,OnSubscribeFlattenIterable.java,,,16,,,,46,1,,13,253,0.12
File,OnSubscribeFlattenIterableTest.java,,,2,,,,61,0,,57,410,0.04
File,OnSubscribeFromArray.java,,,4,,,,21,0,,6,88,0.18
File,OnSubscribeFromArrayTest.java,,,0,,,,6,0,,5,47,0.32
File,OnSubscribeFromCallable.java,,,1,,,,3,0,,2,21,1.1
File,OnSubscribeFromCallableTest.java,,,0,,,,8,0,,7,91,0.24
File,OnSubscribeFromEmitter.java,,,15,,,,89,0,,42,422,0.07
File,OnSubscribeFromEmitterTest.java,,,6,,,,67,0,,67,585,0.03
File,OnSubscribeFromIterable.java,,,3,,,,30,0,,6,134,0.21
File,OnSubscribeFromIterableTest.java,,,5,,,,71,0,,66,411,0.07
File,OnSubscribeGroupJoin.java,,,21,,,,42,0,,30,282,0.18
File,OnSubscribeGroupJoinTest.java,,,9,,,,29,0,,29,277,0.06
File,OnSubscribeJoin.java,,,16,,,,39,0,,21,243,0.15
File,OnSubscribeJoinTest.java,,,2,,,,17,0,,17,226,0.07
File,OnSubscribeLift.java,,,2,,,,4,0,,2,28,0.96
File,OnSubscribeMap.java,,,5,,,,10,0,,7,62,0.39
File,OnSubscribeMapTest.java,,,3,,,,39,1,,35,261,0.13
File,OnSubscribeOnAssembly.java,,,4,,,,20,1,,7,83,0.31
File,OnSubscribeOnAssemblyCompletable.java,,,4,,,,6,0,,6,37,0.7
File,OnSubscribeOnAssemblySingle.java,,,4,,,,5,0,,5,34,0.76
File,OnSubscribePublishMulticast.java,,,12,,,,66,0,,23,301,0.41
File,OnSubscribeRange.java,,,5,,,,20,0,,6,86,0.33
File,OnSubscribeRangeTest.java,,,0,,,,35,0,,28,213,0.08
File,OnSubscribeRedo.java,,,9,,,,58,11,,38,264,0.2
File,OnSubscribeReduce.java,,,6,,,,16,0,,8,92,0.16
File,OnSubscribeReduceSeed.java,,,4,,,,5,0,,4,38,0.39
File,OnSubscribeReduceTest.java,,,3,,,,29,0,,25,215,0.07
File,OnSubscribeRefCount.java,,,4,,,,16,0,,11,100,0.47
File,OnSubscribeRefCountTest.java,,,0,,,,56,0,,46,456,0.11
File,OnSubscribeSingle.java,,,4,,,,10,1,,7,53,0.43
File,OnSubscribeSingleTest.java,,,0,,,,7,0,,7,61,0.25
File,OnSubscribeSkipTimed.java,,,6,,,,8,0,,7,62,0.31
File,OnSubscribeTakeLastOne.java,,,1,,,,6,0,,5,35,0.43
File,OnSubscribeThrow.java,,,1,,,,2,0,,2,13,2.08
File,OnSubscribeTimerOnce.java,,,3,,,,4,0,,3,34,0.56
File,OnSubscribeTimerPeriodically.java,,,5,,,,4,0,,3,39,0.49
File,OnSubscribeTimerTest.java,,,3,,,,18,0,,17,248,0.06
File,OnSubscribeToMap.java,,,6,,,,11,0,,7,80,0.46
File,OnSubscribeToMapTest.java,,,3,,,,44,0,,39,340,0.05
File,OnSubscribeToMultimap.java,,,8,,,,15,1,,10,122,0.48
File,OnSubscribeToMultimapTest.java,,,3,,,,57,2,,50,414,0.04
File,OnSubscribeToObservableFuture.java,,,3,,,,11,2,,7,55,0.64
File,OnSubscribeToObservableFutureTest.java,,,2,,,,18,0,,18,157,0.1
File,OnSubscribeUsing.java,,,6,,,,15,0,,7,105,0.32
File,OnSubscribeUsingTest.java,,,2,,,,61,4,,58,386,0.06
File,OneItemPerf.java,,,16,,,,31,0,,31,180,0.14
File,OpenHashSet.java,,,5,,,,36,1,,12,151,0.25
File,OpenHashSetTest.java,,,0,,,,8,0,,2,37,0.41
File,OperatorAll.java,,,2,,,,10,0,,5,56,0.43
File,OperatorAllTest.java,,,1,,,,36,0,,32,247,0.06
File,OperatorAny.java,,,4,,,,11,0,,5,65,0.34
File,OperatorAnyTest.java,,,1,,,,41,0,,37,328,0.05
File,OperatorAsObservable.java,,,0,,,,3,1,,3,18,1.56
File,OperatorAsObservableTest.java,,,0,,,,2,0,,2,40,0.38
File,OperatorBufferTest.java,,,5,,,,93,0,,89,946,0.02
File,OperatorBufferWithSingleObservable.java,,,5,,,,20,0,,12,129,0.35
File,OperatorBufferWithSize.java,,,17,,,,46,0,,20,244,0.16
File,OperatorBufferWithStartEndObservable.java,,,6,,,,25,0,,14,148,0.3
File,OperatorBufferWithTime.java,,,13,,,,43,0,,18,244,0.19
File,OperatorCast.java,,,4,,,,10,0,,7,59,0.34
File,OperatorCastTest.java,,,0,,,,3,0,,3,41,0.37
File,OperatorConcatTest.java,,,10,,,,88,0,,55,750,0.1
File,OperatorCountTest.java,,,0,,,,1,0,,1,14,1.07
File,OperatorDebounceTest.java,,,3,,,,24,0,,24,242,0.14
File,OperatorDebounceWithSelector.java,,,3,,,,10,0,,9,65,0.34
File,OperatorDebounceWithTime.java,,,10,,,,17,0,,11,120,0.36
File,OperatorDefaultIfEmptyTest.java,,,0,,,,8,0,,8,82,0.18
File,OperatorDelay.java,,,4,,,,11,0,,8,60,0.38
File,OperatorDelayTest.java,,,7,,,,67,0,,53,672,0.02
File,OperatorDelayWithSelector.java,,,2,,,,7,0,,6,44,0.52
File,OperatorDematerialize.java,,,1,,,,12,1,,6,53,0.62
File,OperatorDematerializeTest.java,,,0,,,,7,0,,7,98,0.15
File,OperatorDistinct.java,,,2,,,,7,1,,6,44,0.64
File,OperatorDistinctTest.java,,,3,,,,9,0,,8,99,0.16
File,OperatorDistinctUntilChanged.java,,,4,,,,12,1,,8,74,0.36
File,OperatorDistinctUntilChangedTest.java,,,2,,,,16,0,,15,153,0.1
File,OperatorDoAfterTerminate.java,,,1,,,,8,0,,6,48,0.52
File,OperatorDoAfterTerminateTest.java,,,2,,,,10,0,,8,66,0.29
File,OperatorDoOnRequest.java,,,2,,,,8,0,,8,45,0.49
File,OperatorDoOnRequestTest.java,,,0,,,,17,0,,16,95,0.23
File,OperatorDoOnSubscribe.java,,,1,,,,2,0,,2,16,1.56
File,OperatorDoOnSubscribeTest.java,,,0,,,,9,0,,9,79,0.19
File,OperatorDoOnUnsubscribe.java,,,1,,,,2,0,,2,17,1.47
File,OperatorDoOnUnsubscribeTest.java,,,0,,,,12,0,,8,111,0.25
File,OperatorEagerConcatMap.java,,,18,,,,46,0,,17,253,0.06
File,OperatorEagerConcatMapTest.java,,,4,,,,51,0,,47,410,0.04
File,OperatorElementAt.java,,,5,,,,16,0,,10,74,0.36
File,OperatorElementAtTest.java,,,0,,,,6,0,,6,34,0.44
File,OperatorFirstTest.java,,,1,,,,24,0,,24,238,0.06
File,OperatorFlatMapPerf.java,,,1,,,,7,0,,7,57,0.47
File,OperatorFlatMapTest.java,,,1,,,,81,1,,52,524,0.03
File,OperatorGroupBy.java,,,34,,,,97,1,,37,467,0.08
File,OperatorGroupByTest.java,,,9,,,,241,3,,215,1567,0.06
File,OperatorIgnoreElements.java,,,0,,,,6,1,,6,32,0.53
File,OperatorIgnoreElementsTest.java,,,0,,,,15,0,,15,107,0.18
File,OperatorLastTest.java,,,0,,,,22,0,,22,204,0.07
File,OperatorMapNotification.java,,,12,,,,35,0,,11,160,0.14
File,OperatorMapNotificationTest.java,,,0,,,,12,0,,12,110,0.14
File,OperatorMapPair.java,,,8,,,,14,1,,11,86,0.42
File,OperatorMapPairTest.java,,,0,,,,3,0,,3,29,0.52
File,OperatorMapPerf.java,,,1,,,,4,0,,4,32,0.47
File,OperatorMaterialize.java,,,5,,,,22,1,,12,105,0.41
File,OperatorMaterializeTest.java,,,5,,,,22,0,,17,210,0.08
File,OperatorMerge.java,,,26,,,,127,2,,33,655,0.25
File,OperatorMergeDelayErrorTest.java,,,8,,,,63,1,,46,545,0.08
File,OperatorMergeMaxConcurrentTest.java,,,4,,,,41,0,,18,242,0.08
File,OperatorMergePerf.java,,,5,,,,15,0,,14,119,0.17
File,OperatorMergeTest.java,,,10,,,,169,2,,125,1192,0.09
File,OperatorMulticast.java,,,7,,,,14,0,,8,100,0.4
File,OperatorMulticastTest.java,,,0,,,,4,0,,4,79,0.22
File,OperatorObserveOn.java,,,14,,,,40,1,,14,203,0.27
File,OperatorObserveOnPerf.java,,,1,,,,7,0,,7,61,0.25
File,OperatorObserveOnTest.java,,,1,,,,100,1,,78,720,0.08
File,OperatorOnBackpressureBuffer.java,,,11,,,,33,1,,17,155,0.28
