Kind,Name,CountDeclMethodAll,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,MaxInheritanceTree,PercentLackOfCohesion,CountDeclClassMethod
File,"shell_javascript_dialog_creator.cc",,1,,,,,,,,
File,"shell_javascript_dialog_creator.h",,0,,,,,,,,
File,"shell_javascript_dialog_gtk.cc",,0,,,,,,,,
File,"shell_javascript_dialog_win.cc",,0,,,,,,,,
File,"shell_login_dialog.cc",,1,,,,,,,,
File,"shell_login_dialog.h",,0,,,,,,,,
File,"shell_login_dialog_gtk.cc",,0,,,,,,,,
File,"shell_login_dialog_win.cc",,0,,,,,,,,
File,"shell_main.cc",,1,,,,,,,,
File,"shell_main_delegate.cc",,1,,,,,,,,
File,"shell_main_delegate.h",,0,,,,,,,,
File,"shell_network_delegate.cc",,0,,,,,,,,
File,"shell_network_delegate.h",,0,,,,,,,,
File,"shell_quota_permission_context.cc",,0,,,,,,,,
File,"shell_quota_permission_context.h",,0,,,,,,,,
File,"shell_render_process_observer.cc",,1,,,,,,,,
File,"shell_render_process_observer.h",,0,,,,,,,,
File,"shell_resource_context.cc",,0,,,,,,,,
File,"shell_resource_context.h",,0,,,,,,,,
File,"shell_resource_dispatcher_host_delegate.cc",,1,,,,,,,,
File,"shell_resource_dispatcher_host_delegate.h",,0,,,,,,,,
File,"shell_switches.cc",,0,,,,,,,,
File,"shell_switches.h",,0,,,,,,,,
File,"shell_toolbar_delegate_mac.h",,0,,,,,,,,
File,"shell_url_request_context_getter.cc",,1,,,,,,,,
File,"shell_url_request_context_getter.h",,0,,,,,,,,
File,"sqlite_persistent_cookie_store.cc",,1,,,,,,,,
File,"sqlite_persistent_cookie_store.h",,0,,,,,,,,
File,"standard_menus_mac.h",,0,,,,,,,,
File,"tray.cc",,0,,,,,,,,
File,"tray.h",,0,,,,,,,,
File,"tray_gtk.cc",,0,,,,,,,,
File,"tray_win.cc",,0,,,,,,,,
File,"window.cc",,1,,,,,,,,
File,"window.h",,0,,,,,,,,
File,"window_bindings.cc",,1,,,,,,,,
File,"window_bindings.h",,0,,,,,,,,
