Kind,Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountDeclMethodAll,CountClassCoupled,PercentLackOfCohesion
File,"RegisterSend2CgeoPreference.java",11,,,,,
File,"RemoveFromHistoryLoader.java",3,,,,,
File,"RxUtils.java",3,,,,,
File,"ScaleDrawer.java",8,,,,,
File,"SearchActivity.java",56,,,,,
File,"SearchResult.java",52,,,,,
File,"SearchResultTest.java",3,,,,,
File,"SearchSuggestionCursor.java",2,,,,,
File,"SelectMapfileActivity.java",15,,,,,
File,"SensorsTest.java",3,,,,,
File,"Settings.java",190,,,,,
File,"SettingsActivity.java",114,,,,,
File,"SettingsTest.java",4,,,,,
File,"ShareUtils.java",3,,,,,
File,"SherlockReflector.java",6,,,,,
File,"ShotStateStore.java",6,,,,,
File,"ShowcaseAreaCalculator.java",3,,,,,
File,"ShowcaseDrawer.java",8,,,,,
File,"ShowcaseView.java",86,,,,,
File,"ShowcaseViewBuilder.java",8,,,,,
File,"SimpleCancellableHandler.java",15,,,,,
File,"SimpleDirChooser.java",42,,,,,
File,"SimpleDirChooserUITest.java",9,,,,,
File,"SimpleHandler.java",4,,,,,
File,"SimpleWebviewActivity.java",2,,,,,
File,"SizeComparator.java",2,,,,,
File,"SizeFilter.java",6,,,,,
File,"SizeFilterTest.java",4,,,,,
File,"SortActionProvider.java",20,,,,,
File,"SpeechService.java",25,,,,,
File,"StandardShowcaseDrawer.java",9,,,,,
File,"StartableHandlerThread.java",13,,,,,
File,"StateArchivedFilterTest.java",2,,,,,
File,"StateComparator.java",4,,,,,
File,"StateDisabledFilterTest.java",2,,,,,
File,"StateFilter.java",21,,,,,
File,"StateFoundFilterTest.java",2,,,,,
File,"StateNonPremiumFilterTest.java",2,,,,,
File,"StateNotFoundFilterTest.java",2,,,,,
File,"StatePremiumFilterTest.java",2,,,,,
File,"StateStoredFilterTest.java",2,,,,,
File,"StaticMapApp.java",5,,,,,
File,"StaticMapsActivity.java",26,,,,,
File,"StaticMapsProvider.java",57,,,,,
File,"StaticMapsProviderTest.java",3,,,,,
File,"StatusCode.java",5,,,,,
File,"StatusFragment.java",10,,,,,
File,"StatusUpdater.java",9,,,,,
File,"StorageTimeComparator.java",3,,,,,
File,"StoredList.java",39,,,,,
File,"StoredListTest.java",5,,,,,
File,"StreetviewApp.java",4,,,,,
File,"SuggestionProvider.java",10,,,,,
File,"SygicNavigationApp.java",2,,,,,
File,"SynchronizedDateFormat.java",4,,,,,
File,"Target.java",2,,,,,
File,"TemplateTextPreference.java",14,,,,,
File,"TerrainComparator.java",2,,,,,
File,"TerrainFilter.java",4,,,,,
File,"TerrainFilterTest.java",2,,,,,
File,"TestSettings.java",10,,,,,
File,"TextDrawer.java",35,,,,,
File,"TextFactory.java",17,,,,,
File,"TextFactoryTest.java",9,,,,,
File,"TextPreference.java",10,,,,,
File,"TextUtils.java",17,,,,,
File,"TextUtilsTest.java",3,,,,,
File,"Tile.java",36,,,,,
File,"TitlePageIndicator.java",105,,,,,
File,"TitleProvider.java",1,,,,,
File,"Trackable.java",45,,,,,
File,"TrackableActivity.java",91,,,,,
File,"TrackableConnector.java",6,,,,,
File,"TrackableLog.java",1,,,,,
File,"TrackableLogsViewCreator.java",9,,,,,
File,"TrackableTest.java",6,,,,,
File,"TrackablesFilter.java",3,,,,,
File,"TrackablesTest.java",15,,,,,
File,"TranslationUtils.java",4,,,,,
File,"TravelBugConnector.java",10,,,,,
File,"TravelBugConnectorTest.java",6,,,,,
File,"Twitter.java",18,,,,,
File,"TwitterAuthorizationActivity.java",5,,,,,
File,"TwitterTest.java",5,,,,,
File,"TypeFilter.java",6,,,,,
File,"TypeFilterTest.java",4,,,,,
File,"UTFGrid.java",2,,,,,
File,"UTFGridPosition.java",8,,,,,
File,"UTFGridPositionTest.java",5,,,,,
File,"UncertainProperty.java",10,,,,,
File,"UncertainPropertyTest.java",2,,,,,
File,"Units.java",11,,,,,
File,"UnitsTest.java",7,,,,,
File,"UnknownConnector.java",6,,,,,
File,"UnknownTagsHandler.java",25,,,,,
File,"UnknownTrackableConnector.java",3,,,,,
File,"UrlLoader.java",4,,,,,
File,"UrlPopup.java",4,,,,,
File,"UsefulAppsActivity.java",11,,,,,
File,"UserAction.java",3,,,,,
File,"UserActionsClickListener.java",3,,,,,
File,"UserInfo.java",11,,,,,
File,"UserNameClickListener.java",2,,,,,
File,"Version.java",7,,,,,
File,"ViewTarget.java",4,,,,,
File,"Viewport.java",24,,,,,
File,"ViewportTest.java",12,,,,,
File,"VisitComparator.java",1,,,,,
File,"VoteComparator.java",1,,,,,
File,"WaymarkingConnector.java",6,,,,,
File,"Waypoint.java",70,,,,,
File,"WaypointNavigationApp.java",2,,,,,
File,"WaypointPopup.java",5,,,,,
File,"WaypointPopupFragment.java",15,,,,,
File,"WaypointTest.java",5,,,,,
File,"WaypointType.java",9,,,,,
File,"WaypointTypeTest.java",1,,,,,
File,"WaypointViewHolder.java",1,,,,,
File,"WaypointsTest.java",3,,,,,
File,"WeakReferenceHandler.java",2,,,,,
File,"WhereYouGoApp.java",4,,,,,
File,"WhereYouGoAppTest.java",1,,,,,
File,"WhitespaceTest.java",11,,,,,
File,"WpThresholdPreference.java",9,,,,,
File,"XmlUtils.java",5,,,,,
File,"XmlUtilsTest.java",5,,,,,
Package,"android.support.v4.app",16,,,,,
Public Class,"android.support.v4.app.FragmentListActivity",14,2,0,10,0,76
Class,"android.support.v4.app.FragmentListActivity.(Anon_1)",1,1,0,1,1,0
Class,"android.support.v4.app.FragmentListActivity.(Anon_2)",1,1,0,1,1,0
Package,"cgeo",10,,,,,
Public Abstract Class,"cgeo.CGeoTestCase",10,2,18,7,6,66
Package,"cgeo.calendar",61,,,,,
Abstract Class,"cgeo.calendar.AbstractAddEntry",4,1,2,3,2,50
Class,"cgeo.calendar.AddEntry",4,2,0,5,3,0
Class,"cgeo.calendar.AddEntryLevel14",4,2,0,5,3,0
Public Class,"cgeo.calendar.CalendarActivity",14,2,0,3,4,33
Class,"cgeo.calendar.CalendarActivity.selectCalendarForAdding.(Anon_1)",1,1,0,1,3,0
