Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassBase,CountClassCoupled,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod
File,"SuperClassRunOnGpu.java",,,,,,4,3,4
File,"SynchronizedMethod2RunOnGpu.java",,,,,,4,2,4
File,"SynchronizedMethod2Shared.java",,,,,,1,1,1
File,"SynchronizedMethod2Test.java",,,,,,2,0,2
File,"SynchronizedMethod3Object.java",,,,,,2,2,2
File,"SynchronizedMethod3RunOnGpu.java",,,,,,3,2,3
File,"SynchronizedMethod3Test.java",,,,,,2,0,2
File,"SynchronizedMethodObject.java",,,,,,1,1,1
File,"SynchronizedMethodRunOnGpu.java",,,,,,3,1,3
File,"SynchronizedMethodTest.java",,,,,,2,0,2
File,"SynchronizedObjectRunOnGpu.java",,,,,,3,11,3
File,"SynchronizedObjectShared.java",,,,,,1,1,1
File,"SynchronizedObjectTest.java",,,,,,2,0,2
File,"SynchronizedStaticMethodRunOnGpu.java",,,,,,4,2,4
File,"SynchronizedStaticMethodShared.java",,,,,,0,0,1
File,"SynchronizedStaticMethodTest.java",,,,,,2,0,2
File,"SystemOutHandler.java",,,,,,3,0,3
File,"TestApplication.java",,,,,,3,0,3
File,"TestApplicationFactory.java",,,,,,1,0,1
File,"TestCaseEntryPointDetector.java",,,,,,6,7,6
File,"TestCaseFollowTester.java",,,,,,2,1,2
File,"TestException.java",,,,,,2,0,2
File,"TestExceptionFactory.java",,,,,,1,0,1
File,"TestKernelTemplate.java",,,,,,3,0,3
File,"TestKernelTemplateFactory.java",,,,,,1,0,1
File,"TestSerialization.java",,,,,,2,0,2
File,"TestSerializationFactory.java",,,,,,2,0,2
File,"ThreadConfig.java",,,,,,4,3,4
File,"ThreadConfigApp.java",,,,,,1,0,2
File,"ThreadConfigKernel.java",,,,,,2,4,2
File,"Transform2.java",,,,,,3,1,3
File,"TrapItem.java",,,,,,5,4,5
File,"TreeMapRunOnGpu.java",,,,,,2,1,2
File,"TreeMapTest.java",,,,,,2,0,2
File,"TreeNode.java",,,,,,8,3,8
File,"TreeSetRunOnGpu.java",,,,,,2,1,2
File,"TreeSetTest.java",,,,,,2,0,2
File,"Tweaks.java",,,,,,10,0,12
File,"UnitAssembler.java",,,,,,22,7,22
File,"UnitsSuitableForGpu.java",,,,,,2,0,2
File,"VariableAgeCutoff.java",,,,,,20,4,20
File,"VisitorGen.java",,,,,,17,5,17
File,"VisitorReadGen.java",,,,,,13,9,13
File,"VisitorReadGenStatic.java",,,,,,7,3,7
File,"VisitorWriteGen.java",,,,,,17,19,17
File,"VisitorWriteGenStatic.java",,,,,,9,3,9
File,"WhileTrueRunOnGpu.java",,,,,,3,2,3
File,"WhileTrueTest.java",,,,,,2,0,2
File,"WindowsCompile.java",,,,,,7,2,7
File,"ZeroLengthArrayRunOnGpu.java",,,,,,2,1,2
File,"ZeroLengthArrayTest.java",,,,,,2,0,2
Package,"de.metzingen.thorstenkiefer",,,,,,10,24,14
Public Class,"de.metzingen.thorstenkiefer.MyKernel",79,1,2,0,11,9,20,11
Public Class,"de.metzingen.thorstenkiefer.RayGenerator",33,1,1,2,2,0,0,2
Private Static Class,"de.metzingen.thorstenkiefer.RayGenerator.MyThread",0,2,1,1,1,1,4,1
Package,"mandellib",,,,,,2,9,3
Public Class,"mandellib.MandelGenerator",0,1,1,1,1,0,0,1
Public Class,"mandellib.MyKernel",0,1,2,0,2,2,9,2
Package,"megamandel2",,,,,,14,21,15
Public Class,"megamandel2.MegaMandel2",0,1,1,1,1,0,0,1
Public Class,"megamandel2.NewJPanel",75,2,1,1,8,8,11,8
Private Static Class,"megamandel2.NewJPanel.MyThread",0,2,1,0,1,1,10,1
Class,"megamandel2.NewJPanel.NewJPanel.(Anon_1)",0,1,2,2,1,1,0,1
Class,"megamandel2.NewJPanel.initComponents.(Anon_2)",0,1,2,1,2,2,0,2
Class,"megamandel2.NewJPanel.initComponents.(Anon_3)",0,1,2,1,1,1,0,1
Class,"megamandel2.NewJPanel.initComponents.(Anon_4)",0,1,2,1,1,1,0,1
Package,"multidimray2",,,,,,8,12,13
Public Class,"multidimray2.MultiDimRay2",0,1,1,1,1,0,0,1
Public Class,"multidimray2.NewJPanel",89,2,1,1,9,5,10,9
Private Static Class,"multidimray2.NewJPanel.HyperCube",0,1,1,0,0,0,2,0
Class,"multidimray2.NewJPanel.NewJPanel.(Anon_1)",0,1,2,2,1,1,0,1
Class,"multidimray2.NewJPanel.initComponents.(Anon_2)",0,1,2,1,1,1,0,1
Class,"multidimray2.NewJPanel.initComponents.(Anon_3)",0,1,2,1,1,1,0,1
Package,"org.trifort.rootbeer.compiler",,,,,,8,2,8
Public Class,"org.trifort.rootbeer.compiler.AcceptableNativeMethods",0,1,1,0,2,2,1,2
Public Class,"org.trifort.rootbeer.compiler.FindMethodCalls",0,1,1,0,3,3,0,3
Public Class,"org.trifort.rootbeer.compiler.Transform2",33,1,1,2,3,3,1,3
Package,"org.trifort.rootbeer.compressor",,,,,,33,10,34
Public Class,"org.trifort.rootbeer.compressor.Compressor",68,1,1,3,8,7,2,8
Public Class,"org.trifort.rootbeer.compressor.OpenCLLexer",98,2,1,2,14,14,3,14
Class,"org.trifort.rootbeer.compressor.OpenCLLexer.DFA1",0,2,1,1,2,2,0,2
Class,"org.trifort.rootbeer.compressor.OpenCLLexer.DFA10",0,2,1,1,2,2,0,2
Public Class,"org.trifort.rootbeer.compressor.OpenCLParser",84,2,1,1,7,7,1,7
Public Static Class,"org.trifort.rootbeer.compressor.OpenCLParser.program_return",75,2,1,0,1,1,4,1
Package,"org.trifort.rootbeer.configuration",,,,,,35,14,42
Public Class,"org.trifort.rootbeer.configuration.Configuration",92,1,1,2,33,27,14,33
Public Class,"org.trifort.rootbeer.configuration.RootbeerPaths",88,1,1,0,9,8,0,9
Package,"org.trifort.rootbeer.deadmethods",,,,,,34,11,35
Public Class,"org.trifort.rootbeer.deadmethods.Block",72,1,1,4,10,10,5,10
Public Class,"org.trifort.rootbeer.deadmethods.BlockParser",25,1,1,3,1,1,0,1
Public Class,"org.trifort.rootbeer.deadmethods.DeadMethods",58,1,1,9,6,5,2,6
Public Class,"org.trifort.rootbeer.deadmethods.LiveMethodDetector",0,1,1,2,1,1,0,1
Public Class,"org.trifort.rootbeer.deadmethods.Method",50,1,1,0,4,4,2,4
Public Class,"org.trifort.rootbeer.deadmethods.MethodAnnotator",0,1,1,2,2,2,0,2
Public Class,"org.trifort.rootbeer.deadmethods.MethodNameCompressor",0,1,1,0,1,1,0,1
Public Class,"org.trifort.rootbeer.deadmethods.MethodNameParser",0,1,1,2,2,2,0,2
Public Class,"org.trifort.rootbeer.deadmethods.Segment",25,1,1,1,4,4,2,4
Public Class,"org.trifort.rootbeer.deadmethods.SegmentParser",75,1,1,1,4,4,0,4
Package,"org.trifort.rootbeer.entry",,,,,,70,39,73
Public Class,"org.trifort.rootbeer.entry.Aug4th2011PerformanceStudy",75,1,1,0,14,13,9,14
Public Class,"org.trifort.rootbeer.entry.DontDfsMethods",0,1,1,0,2,2,1,2
Public Class,"org.trifort.rootbeer.entry.ExtraFields",0,1,1,0,2,2,1,2
Public Class,"org.trifort.rootbeer.entry.JarClassLoader",33,1,1,0,3,3,1,3
Public Class,"org.trifort.rootbeer.entry.KernelEntryPointDetector",0,1,2,0,2,2,1,2
Public Class,"org.trifort.rootbeer.entry.Main",67,1,1,6,7,5,11,7
Public Class,"org.trifort.rootbeer.entry.MainTester",0,1,2,0,1,1,0,1
Public Class,"org.trifort.rootbeer.entry.RootbeerCompiler",90,1,1,17,29,29,6,29
Public Class,"org.trifort.rootbeer.entry.RootbeerDfs",0,1,1,0,2,2,1,2
Public Class,"org.trifort.rootbeer.entry.RootbeerTest",0,1,1,4,3,3,0,3
Public Class,"org.trifort.rootbeer.entry.TestCaseEntryPointDetector",69,1,2,0,6,6,7,6
Public Class,"org.trifort.rootbeer.entry.TestCaseFollowTester",0,1,2,0,2,2,1,2
Package,"org.trifort.rootbeer.examples.multigpu",,,,,,3,2,4
Public Class,"org.trifort.rootbeer.examples.multigpu.ArrayMult",0,1,2,0,2,2,2,2
Public Class,"org.trifort.rootbeer.examples.multigpu.MultiGpuApp",0,1,1,5,2,1,0,2
Package,"org.trifort.rootbeer.generate.bytecode",,,,,,249,84,252
Public Class,"org.trifort.rootbeer.generate.bytecode.AbstractVisitorGen",83,1,1,6,12,12,8,12
