Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgEssentialStrictModified,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclLibunit,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPackageCoupled,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,EssentialStrictModified,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxEssentialStrictModified,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,SumEssentialStrictModified
Public Class,"io.realm.internal.TableView",,,,,,,1,1,1,1,,4,0,4,0,3,7,0,,0,0,,,,,78,4,,,,,,,78,146,,0,,,1,2,,75,,,,,,,878,,,,174,,,,472,,,229,160,234,,,,,,,,,207,317,161,,,,156,,,,,,,,,3,3,3,1,,,1,2,,65,0.50,107,107,107,78,
Public Enum Type,"io.realm.internal.TableView.Order",,,,,,,1,1,1,1,,0,0,0,0,1,0,0,,0,0,,,,,2,2,,,,,,,2,2,,0,,,0,0,,2,,,,,,,1,,,,0,,,,1,,,1,0,0,,,,,,,,,1,1,1,,,,0,,,,,,,,,1,1,1,1,,,2,0,,100,0.00,2,2,2,2,
Public Method,"io.realm.internal.TableView.Order.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,0,,,0,0,0,,,,,,1,,0,0,0,0,,,,0,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.Order.values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,0,,,0,0,0,,,,,,1,,0,0,0,0,,,,0,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Protected Constructor,"io.realm.internal.TableView.TableView",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,,,,0,,,,5,,,1,3,0,,,,,,4,,1,3,4,1,,,,3,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.adjust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,0,,,,4,,,1,2,0,,,,,,2,,2,2,4,1,,,,3,,,2,2,2,1,,,,,,,,,,1,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.averageDouble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,,,1,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.averageFloat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,,,1,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.averageLong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,0,,,,3,,,1,1,0,,,,,,1,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.clear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,0,,,,4,,,1,2,0,,,,,,2,,2,2,4,1,,,,3,,,2,2,2,1,,,,,,,,,,1,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.clearSubtable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,0,,,,4,,,1,2,0,,,,,,2,,2,2,4,1,,,,3,,,2,2,2,1,,,,,,,,,,1,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,,,,2,,,,10,,,1,6,0,,,,,,2,,3,3,7,1,,,,6,,,3,3,3,1,,,,,,,,,,2,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.count",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,3,,,1,1,1,,,,,,1,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.33,,,,,
Protected Method,"io.realm.internal.TableView.finalize",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,0,,,,8,,,1,4,1,,,,,,2,,2,2,5,1,,,,4,,,2,2,2,1,,,,,,,,,,1,,,0.13,,,,,
Public Method,"io.realm.internal.TableView.findAllBoolean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,,,,0,,,,10,,,2,7,1,,,,,,3,,2,5,7,2,,,,5,,,2,2,2,1,,,,,,,,,,1,,,0.10,,,,,
Public Method,"io.realm.internal.TableView.findAllDate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,,,,0,,,,10,,,2,7,1,,,,,,4,,2,5,7,2,,,,5,,,2,2,2,1,,,,,,,,,,1,,,0.10,,,,,
Public Method,"io.realm.internal.TableView.findAllDouble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,,,,0,,,,10,,,2,7,1,,,,,,3,,2,5,7,2,,,,5,,,2,2,2,1,,,,,,,,,,1,,,0.10,,,,,
Public Method,"io.realm.internal.TableView.findAllFloat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,,,,0,,,,10,,,2,7,1,,,,,,3,,2,5,7,2,,,,5,,,2,2,2,1,,,,,,,,,,1,,,0.10,,,,,
Public Method,"io.realm.internal.TableView.findAllLong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,,,,0,,,,10,,,2,7,1,,,,,,3,,2,5,7,2,,,,5,,,2,2,2,1,,,,,,,,,,1,,,0.10,,,,,
Public Method,"io.realm.internal.TableView.findAllString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,11,,,,0,,,,10,,,2,7,1,,,,,,3,,2,5,7,2,,,,5,,,2,2,2,1,,,,,,,,,,1,,,0.10,,,,,
Public Method,"io.realm.internal.TableView.findFirstBoolean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,0,,,,3,,,1,1,0,,,,,,1,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.findFirstDate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,0,,,,3,,,1,1,0,,,,,,2,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.findFirstDouble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,0,,,,3,,,1,1,0,,,,,,1,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.findFirstFloat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,0,,,,3,,,1,1,0,,,,,,1,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.findFirstLong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,0,,,,3,,,1,1,0,,,,,,1,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.findFirstString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,0,,,,3,,,1,1,0,,,,,,1,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.getBinaryByteArray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,0,,,,3,,,1,1,0,,,,,,1,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.getBoolean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,0,,,,3,,,1,1,0,,,,,,1,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.getColumnCount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,0,,,,3,,,1,1,0,,,,,,1,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.getColumnIndex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,0,,,,5,,,1,3,0,,,,,,1,,2,2,4,1,,,,3,,,2,2,2,1,,,,,,,,,,1,,,0.00,,,,,
Public Method,"io.realm.internal.TableView.getColumnName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,0,,,,3,,,1,1,0,,,,,,1,,1,1,2,1,,,,1,,,1,1,1,1,,,,,,,,,,0,,,0.00,,,,,
