Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,CountDeclMethodAll,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,CountDeclClassMethod,CountDeclFile,CountLineCode,RatioCommentToCode,CountDeclFunction
File,OperatorElementAtTest.java,,,0,,,,6,0,,34,0.44,6
File,OperatorFilter.java,,,1,,,,7,0,,36,0.58,5
File,OperatorFilterTest.java,,,0,,,,12,0,,95,0.28,12
File,OperatorFinally.java,,,1,,,,5,0,,35,0.71,5
File,OperatorFinallyTest.java,,,2,,,,4,0,,31,0.52,4
File,OperatorFirstTest.java,,,1,,,,24,0,,238,0.06,24
File,OperatorFlatMapPerf.java,,,1,,,,7,0,,57,0.47,7
File,OperatorFlatMapTest.java,,,1,,,,65,1,,439,0.04,44
File,OperatorGroupBy.java,,,16,,,,66,0,,302,0.25,29
File,OperatorGroupByTest.java,,,7,,,,181,1,,1158,0.05,158
File,OperatorIgnoreElements.java,,,0,,,,6,1,,32,0.5,6
File,OperatorIgnoreElementsTest.java,,,0,,,,15,0,,107,0.04,15
File,OperatorLastTest.java,,,0,,,,22,0,,204,0.07,22
File,OperatorMap.java,,,1,,,,6,0,,34,0.62,5
File,OperatorMapNotification.java,,,12,,,,38,0,,193,0.12,14
File,OperatorMapPair.java,,,2,,,,9,1,,48,0.71,8
File,OperatorMapPerf.java,,,1,,,,4,0,,41,0.37,4
File,OperatorMapTest.java,,,3,,,,37,1,,253,0.13,33
File,OperatorMaterialize.java,,,0,,,,6,1,,35,0.8,6
File,OperatorMaterializeTest.java,,,5,,,,14,0,,111,0.14,9
File,OperatorMerge.java,,,24,,,,119,2,,613,0.26,32
File,OperatorMergeDelayErrorTest.java,,,8,,,,54,0,,446,0.09,40
File,OperatorMergeMaxConcurrentTest.java,,,4,,,,39,0,,233,0.08,18
File,OperatorMergePerf.java,,,5,,,,15,0,,119,0.17,14
File,OperatorMergeTest.java,,,10,,,,148,2,,1014,0.1,109
File,OperatorMulticast.java,,,7,,,,14,0,,101,0.4,8
File,OperatorMulticastTest.java,,,0,,,,4,0,,79,0.22,4
File,OperatorObserveOn.java,,,14,,,,35,0,,186,0.22,16
File,OperatorObserveOnPerf.java,,,1,,,,7,0,,61,0.25,7
File,OperatorObserveOnTest.java,,,1,,,,86,1,,605,0.09,68
File,OperatorOnBackpressureBlock.java,,,5,,,,14,0,,72,0.25,11
File,OperatorOnBackpressureBuffer.java,,,10,,,,28,1,,132,0.15,16
File,OperatorOnBackpressureBufferTest.java,,,0,,,,14,0,,104,0.21,13
File,OperatorOnBackpressureDrop.java,,,1,,,,11,1,,57,0.37,9
File,OperatorOnBackpressureDropTest.java,,,0,,,,17,1,,104,0.21,14
File,OperatorOnBackpressureLatest.java,,,8,,,,36,1,,181,0.19,17
File,OperatorOnBackpressureLatestTest.java,,,1,,,,11,0,,107,0.14,9
File,OperatorOnErrorFlatMap.java,,,1,,,,9,0,,48,0.46,8
File,OperatorOnErrorResumeNextViaFunction.java,,,2,,,,14,0,,80,0.41,10
File,OperatorOnErrorResumeNextViaFunctionTest.java,,,4,,,,34,0,,255,0.13,25
File,OperatorOnErrorResumeNextViaObservable.java,,,2,,,,10,0,,56,0.64,7
File,OperatorOnErrorResumeNextViaObservableTest.java,,,4,,,,20,0,,169,0.12,12
File,OperatorOnErrorReturn.java,,,2,,,,11,0,,65,0.52,7
File,OperatorOnErrorReturnTest.java,,,3,,,,20,0,,157,0.15,13
File,OperatorOnExceptionResumeNextViaObservable.java,,,2,,,,11,0,,60,0.67,7
File,OperatorOnExceptionResumeNextViaObservableTest.java,,,3,,,,26,0,,206,0.12,11
File,OperatorPublish.java,,,12,,,,85,2,,389,0.88,23
File,OperatorPublishPerf.java,,,10,,,,16,1,,97,0.27,8
File,OperatorPublishTest.java,,,1,,,,39,0,,313,0.07,31
File,OperatorRangePerf.java,,,6,,,,13,0,,81,0.19,13
File,OperatorReduceTest.java,,,2,,,,10,0,,92,0.16,10
File,OperatorRepeatTest.java,,,0,,,,16,0,,146,0.12,15
File,OperatorReplay.java,,,1,,,,10,2,,51,0.82,10
File,OperatorReplayTest.java,,,2,,,,32,3,,547,0.07,31
File,OperatorRetryTest.java,,,17,,,,98,2,,712,0.12,66
File,OperatorRetryWithPredicate.java,,,7,,,,14,0,,86,0.26,10
File,OperatorRetryWithPredicateTest.java,,,6,,,,33,0,,298,0.06,27
File,OperatorSampleTest.java,,,4,,,,15,0,,224,0.07,15
File,OperatorSampleWithObservable.java,,,1,,,,9,0,,57,0.42,8
File,OperatorSampleWithTime.java,,,5,,,,10,0,,71,0.41,8
File,OperatorScan.java,,,7,,,,19,0,,99,0.58,11
File,OperatorScanTest.java,,,1,,,,39,0,,264,0.08,38
File,OperatorSequenceEqual.java,,,0,,,,7,2,,45,0.78,5
File,OperatorSequenceEqualTest.java,,,0,,,,15,0,,120,0.13,15
File,OperatorSerialize.java,,,0,,,,6,1,,31,0.65,6
File,OperatorSerializePerf.java,,,3,,,,12,0,,89,0.24,12
File,OperatorSerializeTest.java,,,21,,,,45,0,,289,0.21,21
File,OperatorSingle.java,,,9,,,,16,1,,92,0.29,11
File,OperatorSingleTest.java,,,0,,,,51,0,,352,0.07,49
File,OperatorSkip.java,,,2,,,,7,0,,38,0.63,6
File,OperatorSkipLast.java,,,3,,,,8,0,,42,0.57,5
File,OperatorSkipLastTest.java,,,0,,,,7,0,,88,0.17,7
File,OperatorSkipLastTimed.java,,,3,,,,8,0,,49,0.37,6
File,OperatorSkipLastTimedTest.java,,,0,,,,4,0,,100,0.15,4
File,OperatorSkipTest.java,,,0,,,,10,0,,134,0.11,10
File,OperatorSkipTimed.java,,,3,,,,7,0,,54,0.35,6
File,OperatorSkipTimedTest.java,,,0,,,,4,0,,108,0.14,4
File,OperatorSkipUntil.java,,,1,,,,9,0,,55,0.49,8
File,OperatorSkipUntilTest.java,,,1,,,,7,0,,112,0.13,7
File,OperatorSkipWhile.java,,,3,,,,9,1,,47,0.43,7
File,OperatorSkipWhileTest.java,,,2,,,,12,0,,106,0.14,9
File,OperatorSubscribeOn.java,,,1,,,,13,0,,69,0.33,12
File,OperatorSubscribeOnTest.java,,,4,,,,32,0,,202,0.1,26
File,OperatorSwitch.java,,,15,,,,50,1,,269,0.15,18
File,OperatorSwitchIfEmpty.java,,,8,,,,15,0,,85,0.24,13
File,OperatorSwitchIfEmptyTest.java,,,1,,,,25,0,,164,0.1,23
File,OperatorSwitchTest.java,,,7,,,,71,0,,567,0.04,63
File,OperatorTake.java,,,4,,,,17,0,,70,0.57,7
File,OperatorTakeLast.java,,,1,,,,9,0,,47,0.51,6
File,OperatorTakeLastOne.java,,,3,,,,26,1,,108,0.38,10
File,OperatorTakeLastOnePerf.java,,,1,,,,3,0,,28,0,3
File,OperatorTakeLastOneTest.java,,,2,,,,14,0,,102,0,14
File,OperatorTakeLastTest.java,,,1,,,,43,0,,247,0.08,41
File,OperatorTakeLastTimed.java,,,3,,,,12,0,,74,0.32,8
File,OperatorTakeLastTimedTest.java,,,0,,,,6,0,,145,0.31,6
File,OperatorTakeTest.java,,,2,,,,41,0,,330,0.06,35
File,OperatorTakeTimed.java,,,4,,,,7,0,,51,0.43,7
File,OperatorTakeTimedTest.java,,,0,,,,3,0,,84,0.18,3
File,OperatorTakeUntil.java,,,1,,,,9,0,,60,0.35,9
File,OperatorTakeUntilPredicate.java,,,3,,,,12,0,,67,0.33,8
File,OperatorTakeUntilPredicateTest.java,,,0,,,,12,0,,117,0.13,12
File,OperatorTakeUntilTest.java,,,2,,,,15,0,,210,0.1,15
File,OperatorTakeWhile.java,,,3,,,,11,0,,62,0.34,7
File,OperatorTakeWhileTest.java,,,5,,,,27,0,,222,0.08,23
File,OperatorTester.java,,,1,,,,4,1,,18,1.83,4
File,OperatorThrottleFirst.java,,,3,,,,7,0,,38,0.47,6
File,OperatorThrottleFirstTest.java,,,3,,,,12,0,,124,0.25,12
File,OperatorTimeInterval.java,,,2,,,,5,0,,31,0.61,5
File,OperatorTimeIntervalTest.java,,,4,,,,2,0,,49,0.31,2
File,OperatorTimeout.java,,,0,,,,5,0,,31,0.71,5
File,OperatorTimeoutBase.java,,,12,,,,16,0,,128,0.25,7
File,OperatorTimeoutTests.java,,,3,,,,21,0,,287,0.07,20
File,OperatorTimeoutWithSelector.java,,,0,,,,12,0,,79,0.27,9
File,OperatorTimeoutWithSelectorTest.java,,,0,,,,39,0,,323,0.11,30
File,OperatorTimestamp.java,,,1,,,,5,0,,28,0.82,5
File,OperatorTimestampTest.java,,,1,,,,3,0,,61,0.25,3
File,OperatorToMap.java,,,4,,,,8,0,,59,0.51,8
File,OperatorToMapTest.java,,,3,,,,18,0,,167,0.1,16
File,OperatorToMultimap.java,,,5,,,,11,0,,85,0.48,10
File,OperatorToMultimapTest.java,,,3,,,,22,0,,200,0.08,18
File,OperatorToObservableList.java,,,2,,,,10,1,,55,0.89,7
File,OperatorToObservableListTest.java,,,0,,,,15,1,,145,0.1,11
File,OperatorToObservableSortedList.java,,,4,,,,12,0,,75,0.37,9
File,OperatorToObservableSortedListTest.java,,,0,,,,14,1,,117,0.13,10
File,OperatorUnsubscribeOn.java,,,1,,,,7,0,,43,0.44,7
File,OperatorUnsubscribeOnTest.java,,,6,,,,14,0,,139,0.14,13
File,OperatorWindowWithObservable.java,,,8,,,,44,0,,242,0.12,19
File,OperatorWindowWithObservableFactory.java,,,11,,,,47,0,,265,0.11,19
File,OperatorWindowWithObservableTest.java,,,1,,,,42,0,,348,0.04,33
File,OperatorWindowWithSize.java,,,13,,,,41,0,,188,0.27,20
File,OperatorWindowWithSizeTest.java,,,0,,,,34,2,,252,0.1,30
