Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,CountDeclInstanceVariable,CountDeclFile,CountDeclFunction,CountLineCode,RatioCommentToCode,CountDeclClassMethod
File,OperatorDefaultIfEmpty.java,,,,7,,,2,,5,36,0.56,0
File,OperatorDefaultIfEmptyTest.java,,,,6,,,0,,6,59,0.25,0
File,OperatorDeferFuture.java,,,,7,,,3,,7,39,0.97,2
File,OperatorDeferFutureTest.java,,,,7,,,0,,5,74,0.2,0
File,OperatorDematerialize.java,,,,10,,,1,,4,42,0.62,0
File,OperatorDematerializeTest.java,,,,7,,,0,,7,98,0.15,0
File,OperatorDistinct.java,,,,6,,,2,,5,37,0.57,0
File,OperatorDistinctTest.java,,,,9,,,3,,8,99,0.16,0
File,OperatorDistinctUntilChanged.java,,,,7,,,3,,5,41,0.49,0
File,OperatorDistinctUntilChangedTest.java,,,,9,,,3,,8,105,0.15,0
File,OperatorDoOnEach.java,,,,11,,,2,,5,59,0.34,0
File,OperatorDoOnEachTest.java,,,,21,,,2,,16,164,0.12,0
File,OperatorDoOnSubscribe.java,,,,2,,,1,,2,15,1.67,0
File,OperatorDoOnSubscribeTest.java,,,,9,,,0,,9,79,0.19,0
File,OperatorDoOnUnsubscribe.java,,,,2,,,1,,2,16,1.56,0
File,OperatorDoOnUnsubscribeTest.java,,,,12,,,0,,8,111,0.25,0
File,OperatorEditTextInput.java,,,,8,,,2,,7,51,0.41,0
File,OperatorEditTextInputTest.java,,,,5,,,0,,4,98,0.15,1
File,OperatorElementAt.java,,,,11,,,4,,7,53,0.36,0
File,OperatorElementAtTest.java,,,,6,,,0,,6,34,0.44,0
File,OperatorFilter.java,,,,7,,,1,,5,36,0.58,0
File,OperatorFilterTest.java,,,,12,,,0,,12,96,0.28,0
File,OperatorFinally.java,,,,5,,,1,,5,35,0.71,0
File,OperatorFinallyTest.java,,,,4,,,2,,4,31,0.52,0
File,OperatorFirstTest.java,,,,24,,,1,,24,238,0.06,0
File,OperatorFlatMapPerf.java,,,,7,,,1,,7,54,0.5,0
File,OperatorForEachFuture.java,,,,10,,,2,,9,63,0.84,3
File,OperatorForEachFutureTest.java,,,,22,,,0,,8,128,0.23,0
File,OperatorFromFunctionals.java,,,,9,,,1,,7,44,0.7,3
File,OperatorFromFunctionalsTest.java,,,,18,,,1,,14,150,0.1,0
File,OperatorGroupBy.java,,,,26,,,9,,15,137,0.31,0
File,OperatorGroupByTest.java,,,,119,,,3,,105,775,0.06,1
File,OperatorGroupByUntil.java,,,,29,,,10,,17,182,0.24,1
File,OperatorGroupByUntilTest.java,,,,34,,,3,,33,290,0.05,0
File,OperatorIfThen.java,,,,4,,,3,,2,29,0.76,0
File,OperatorJoinPatterns.java,,,,21,,,0,,10,97,0.33,4
File,OperatorJoinsTest.java,,,,132,,,7,,122,1216,0.03,0
File,OperatorLastTest.java,,,,22,,,0,,22,204,0.07,0
File,OperatorLocalBroadcastRegister.java,,,,4,,,2,,4,38,0.39,0
File,OperatorLocalBroadcastRegisterTest.java,,,,1,,,0,,1,45,0.33,0
File,OperatorMap.java,,,,6,,,1,,5,32,0.66,0
File,OperatorMapNotification.java,,,,8,,,3,,5,47,0.45,0
File,OperatorMapPair.java,,,,9,,,2,,8,48,0.71,1
