Kind,Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountDeclMethodAll,CountClassCoupled,PercentLackOfCohesion
File,"SizeFilterTest.java",4,,,,,
File,"SpeechService.java",24,,,,,
File,"StartableHandlerThread.java",13,,,,,
File,"StateArchivedFilterTest.java",2,,,,,
File,"StateComparator.java",4,,,,,
File,"StateDisabledFilterTest.java",2,,,,,
File,"StateFilter.java",19,,,,,
File,"StateFoundFilterTest.java",2,,,,,
File,"StateNonPremiumFilterTest.java",2,,,,,
File,"StatePremiumFilterTest.java",2,,,,,
File,"StateStoredFilterTest.java",2,,,,,
File,"StaticMapApp.java",5,,,,,
File,"StaticMapsActivity.java",28,,,,,
File,"StaticMapsProvider.java",58,,,,,
File,"StaticMapsProviderTest.java",3,,,,,
File,"StatusCode.java",5,,,,,
File,"StatusFragment.java",10,,,,,
File,"StatusUpdater.java",9,,,,,
File,"StorageTimeComparator.java",3,,,,,
File,"StoredList.java",34,,,,,
File,"StoredListTest.java",5,,,,,
File,"StreetviewApp.java",4,,,,,
File,"SuggestionProvider.java",8,,,,,
File,"SygicNavigationApp.java",2,,,,,
File,"SynchronizedDateFormat.java",4,,,,,
File,"TemplateTextPreference.java",14,,,,,
File,"TerrainComparator.java",2,,,,,
File,"TerrainFilter.java",4,,,,,
File,"TerrainFilterTest.java",2,,,,,
File,"TestSettings.java",9,,,,,
File,"TextFactory.java",17,,,,,
File,"TextFactoryTest.java",9,,,,,
File,"TextPreference.java",10,,,,,
File,"TextUtils.java",16,,,,,
File,"TextUtilsTest.java",3,,,,,
File,"Tile.java",34,,,,,
File,"TitlePageIndicator.java",105,,,,,
File,"TitleProvider.java",1,,,,,
File,"Trackable.java",45,,,,,
File,"TrackableActivity.java",83,,,,,
File,"TrackableConnector.java",6,,,,,
File,"TrackableLog.java",1,,,,,
File,"TrackableLogsViewCreator.java",9,,,,,
File,"TrackableTest.java",6,,,,,
File,"TrackablesFilter.java",3,,,,,
File,"TrackablesTest.java",15,,,,,
File,"TranslationUtils.java",4,,,,,
File,"TravelBugConnector.java",10,,,,,
File,"TravelBugConnectorTest.java",6,,,,,
File,"Twitter.java",18,,,,,
File,"TwitterAuthorizationActivity.java",5,,,,,
File,"TwitterTest.java",5,,,,,
File,"TypeFilter.java",6,,,,,
File,"TypeFilterTest.java",4,,,,,
File,"UTFGrid.java",2,,,,,
File,"UTFGridPosition.java",8,,,,,
File,"UTFGridPositionTest.java",5,,,,,
File,"UncertainProperty.java",10,,,,,
File,"UncertainPropertyTest.java",2,,,,,
File,"Units.java",12,,,,,
File,"UnitsTest.java",7,,,,,
File,"UnknownConnector.java",6,,,,,
File,"UnknownTagsHandler.java",25,,,,,
File,"UnknownTrackableConnector.java",3,,,,,
File,"UrlLoader.java",4,,,,,
File,"UrlPopup.java",4,,,,,
File,"UsefulAppsActivity.java",11,,,,,
File,"UserAction.java",3,,,,,
File,"UserActionsClickListener.java",3,,,,,
File,"UserInfo.java",11,,,,,
File,"UserNameClickListener.java",2,,,,,
File,"Version.java",7,,,,,
File,"Viewport.java",24,,,,,
File,"ViewportTest.java",12,,,,,
File,"VisitComparator.java",1,,,,,
File,"VoteComparator.java",1,,,,,
File,"WaymarkingConnector.java",6,,,,,
File,"Waypoint.java",68,,,,,
File,"WaypointNavigationApp.java",2,,,,,
File,"WaypointPopup.java",16,,,,,
File,"WaypointTest.java",5,,,,,
File,"WaypointType.java",9,,,,,
File,"WaypointTypeTest.java",1,,,,,
File,"WaypointViewHolder.java",1,,,,,
File,"WaypointsTest.java",3,,,,,
File,"WeakReferenceHandler.java",2,,,,,
File,"WhereYouGoApp.java",2,,,,,
File,"WhitespaceTest.java",11,,,,,
File,"WpThresholdPreference.java",9,,,,,
File,"XmlUtils.java",5,,,,,
File,"XmlUtilsTest.java",5,,,,,
Package,"android.support.v4.app",16,,,,,
Public Class,"android.support.v4.app.FragmentListActivity",14,2,1,10,0,76
Class,"android.support.v4.app.FragmentListActivity.(Anon_1)",1,1,0,1,1,0
Class,"android.support.v4.app.FragmentListActivity.(Anon_2)",1,1,0,1,1,0
Package,"cgeo",10,,,,,
Public Abstract Class,"cgeo.CGeoTestCase",10,2,17,7,6,66
Package,"cgeo.calendar",60,,,,,
Abstract Class,"cgeo.calendar.AbstractAddEntry",4,1,2,3,2,50
Class,"cgeo.calendar.AddEntry",4,2,0,5,3,0
Class,"cgeo.calendar.AddEntryLevel14",4,2,0,5,3,0
Public Class,"cgeo.calendar.CalendarActivity",14,2,0,3,4,33
Class,"cgeo.calendar.CalendarActivity.selectCalendarForAdding.(Anon_1)",1,1,0,1,3,0
Class,"cgeo.calendar.CalendarActivity.selectCalendarForAdding.(Anon_2)",1,1,0,1,0,0
Public Class,"cgeo.calendar.CalendarAddon",5,1,0,2,8,0
Class,"cgeo.calendar.CalendarAddon.addToCalendarWithIntent.(Anon_1)",1,1,0,1,2,0
Class,"cgeo.calendar.CalendarEntry",21,1,0,12,2,83
Public Class,"cgeo.calendar.Compatibility",5,1,0,3,0,66
Public Interface,"cgeo.calendar.ICalendar",0,0,0,0,0,0
Package,"cgeo.contacts",23,,,,,
Public Class,"cgeo.contacts.ContactsActivity",20,2,0,6,1,66
Class,"cgeo.contacts.ContactsActivity.selectContact.(Anon_1)",1,1,0,1,1,0
Public Class,"cgeo.contacts.ContactsAddon",2,1,0,2,3,0
Public Interface,"cgeo.contacts.IContacts",0,0,0,0,0,0
Package,"cgeo.geocaching",2702,,,,,
Public Class,"cgeo.geocaching.AboutActivity",14,4,0,40,8,0
Class,"cgeo.geocaching.AboutActivity.ChangeLogViewCreator",2,2,0,6,1,0
Class,"cgeo.geocaching.AboutActivity.ContributorsViewCreator",1,2,0,6,1,0
Class,"cgeo.geocaching.AboutActivity.HelpViewCreator",1,2,0,6,1,0
Class,"cgeo.geocaching.AboutActivity.HelpViewCreator.getDispatchedView.(Anon_1)",1,1,0,1,1,0
Class,"cgeo.geocaching.AboutActivity.LicenseViewCreator",1,2,0,6,1,0
Enum Type,"cgeo.geocaching.AboutActivity.Page",3,2,0,3,1,94
Class,"cgeo.geocaching.AboutActivity.VersionViewCreator",1,2,0,6,2,0
Class,"cgeo.geocaching.AboutActivity.setClickListener.(Anon_2)",1,1,0,1,1,0
Public Abstract Class,"cgeo.geocaching.AbstractLoggingActivity",12,3,2,27,12,0
Public Abstract Class,"cgeo.geocaching.AbstractPopupActivity",28,3,2,37,15,85
Class,"cgeo.geocaching.AbstractPopupActivity.(Anon_1)",3,1,0,1,6,0
Class,"cgeo.geocaching.AbstractPopupActivity.addCacheDetails.(Anon_5)",1,1,0,1,2,0
Class,"cgeo.geocaching.AbstractPopupActivity.aquireGCVote.(Anon_2)",2,1,0,1,4,0
Class,"cgeo.geocaching.AbstractPopupActivity.aquireGCVote.(Anon_3)",1,1,0,1,5,0
Class,"cgeo.geocaching.AbstractPopupActivity.onCreate.(Anon_4)",1,1,0,1,1,0
Public Class,"cgeo.geocaching.AddressListActivity",2,4,0,24,2,0
Class,"cgeo.geocaching.AddressListActivity.onCreate.(Anon_1)",6,1,0,2,3,0
Public Class,"cgeo.geocaching.CacheCache",14,1,0,7,8,42
Private Static Class,"cgeo.geocaching.CacheCache.CacheRemoveHandler",2,1,0,1,3,0
Public Class,"cgeo.geocaching.CacheDetailActivity",112,4,0,65,43,92
Class,"cgeo.geocaching.CacheDetailActivity.(Anon_8)",5,1,0,1,6,0
Private Class,"cgeo.geocaching.CacheDetailActivity.AttributeViewBuilder",22,1,0,7,5,62
Class,"cgeo.geocaching.CacheDetailActivity.AttributeViewBuilder.fillView.(Anon_4)",1,1,0,1,1,0
