Kind,Name,CountDeclClassMethod,MaxInheritanceTree,CountClassDerived,PercentLackOfCohesion,CountClassCoupled,CountDeclInstanceVariable,CountLineCode,CountDeclFile,CountDeclFunction,RatioCommentToCode,CountDeclMethodAll,SumCyclomatic
Public Method,rx.Observable.onErrorReturn,,,,,,,10,,,2.3,,
Class,rx.Observable.onErrorReturn.(Anon_29),0,0,0,0,4,0,5,,,0,13,1
Public Method,rx.Observable.onErrorReturn.(Anon_29).call,,,,,,,3,,,0,,
TypeVariable,rx.Observable.onErrorReturn.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.reduce,,,,,,,3,,,9,,
Public Static Generic Method,rx.Observable.reduce,,,,,,,11,,,2.45,,
Public Static Generic Method,rx.Observable.reduce,,,,,,,3,,,9.67,,
Public Static Generic Method,rx.Observable.reduce,,,,,,,11,,,2.55,,
Public Method,rx.Observable.reduce,,,,,,,3,,,7.67,,
Public Method,rx.Observable.reduce,,,,,,,3,,,7.67,,
Public Method,rx.Observable.reduce,,,,,,,3,,,8.33,,
Public Method,rx.Observable.reduce,,,,,,,3,,,8,,
Class,rx.Observable.reduce.(Anon_17),0,0,0,0,4,0,6,,,0,13,1
Public Method,rx.Observable.reduce.(Anon_17).call,,,,,,,3,,,0,,
Class,rx.Observable.reduce.(Anon_18),0,0,0,0,4,0,6,,,0,13,1
Public Method,rx.Observable.reduce.(Anon_18).call,,,,,,,3,,,0,,
TypeVariable,rx.Observable.reduce.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.reduce.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.reduce.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.reduce.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.scan,,,,,,,3,,,6.67,,
Public Static Generic Method,rx.Observable.scan,,,,,,,11,,,1.82,,
Public Static Generic Method,rx.Observable.scan,,,,,,,3,,,7.33,,
Public Static Generic Method,rx.Observable.scan,,,,,,,11,,,2,,
Public Method,rx.Observable.scan,,,,,,,3,,,6.33,,
Public Method,rx.Observable.scan,,,,,,,3,,,6.67,,
Public Method,rx.Observable.scan,,,,,,,3,,,6.67,,
Public Method,rx.Observable.scan,,,,,,,3,,,6.67,,
Class,rx.Observable.scan.(Anon_19),0,0,0,0,4,0,6,,,0,13,1
Public Method,rx.Observable.scan.(Anon_19).call,,,,,,,3,,,0,,
Class,rx.Observable.scan.(Anon_20),0,0,0,0,4,0,6,,,0,13,1
Public Method,rx.Observable.scan.(Anon_20).call,,,,,,,3,,,0,,
TypeVariable,rx.Observable.scan.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.scan.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.scan.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.scan.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.skip,,,,,,,3,,,5.33,,
Public Method,rx.Observable.skip,,,,,,,3,,,4.67,,
