Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,SumCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,CountDeclMethodAll,RatioCommentToCode,CountDeclClassMethod,CountLineCode,CountDeclFile,CountDeclFunction
Class,rx.CombineLatestTests.(Anon_2),4,0,0,1,0,0,13,0,0,5,,
Public Method,rx.CombineLatestTests.(Anon_2).call,,,,,,,,0,,3,,
Class,rx.CombineLatestTests.(Anon_3),4,0,0,1,0,0,13,0,0,5,,
Public Method,rx.CombineLatestTests.(Anon_3).call,,,,,,,,0,,3,,
Public Method,rx.CombineLatestTests.testCovarianceOfCombineLatest,,,,,,,,0.3,,10,,
Public Class,rx.ConcatTests,9,0,0,7,0,0,19,0.2,0,79,,
Public Method,rx.ConcatTests.testConcatCovariance,,,,,,,,0,,6,,
Public Method,rx.ConcatTests.testConcatCovariance2,,,,,,,,0,,6,,
Public Method,rx.ConcatTests.testConcatCovariance3,,,,,,,,0,,9,,
Public Method,rx.ConcatTests.testConcatCovariance4,,,,,,,,0.06,,17,,
Class,rx.ConcatTests.testConcatCovariance4.(Anon_1),6,0,0,1,0,0,13,0.13,0,8,,
Public Method,rx.ConcatTests.testConcatCovariance4.(Anon_1).onSubscribe,,,,,,,,0.17,,6,,
Public Method,rx.ConcatTests.testConcatSimple,,,,,,,,0,,9,,
Public Method,rx.ConcatTests.testConcatWithIterableOfObservable,,,,,,,,0,,12,,
Public Method,rx.ConcatTests.testConcatWithObservableOfObservable,,,,,,,,0,,11,,
Public Class,rx.CovarianceTest,8,0,0,2,0,0,14,0.72,0,40,,
Static Class,rx.CovarianceTest.ActionMovie,0,0,0,0,2,0,12,0,0,1,,
Static Class,rx.CovarianceTest.Album,0,0,0,0,1,0,12,0,0,1,,
Static Class,rx.CovarianceTest.CoolRating,0,0,0,0,1,0,12,0,0,1,,
Static Class,rx.CovarianceTest.ExtendedResult,0,0,0,0,1,0,12,0,0,1,,
Static Class,rx.CovarianceTest.HorrorMovie,0,0,0,0,2,0,12,0,0,1,,
Static Class,rx.CovarianceTest.Media,0,3,0,0,0,0,12,0,0,2,,
Static Class,rx.CovarianceTest.Movie,0,2,0,0,1,0,12,0,0,1,,
Static Class,rx.CovarianceTest.Rating,0,1,0,0,0,0,12,0,0,2,,
Static Class,rx.CovarianceTest.Result,0,1,0,0,0,0,12,0,0,2,,
Static Class,rx.CovarianceTest.TVSeason,0,0,0,0,1,0,12,0,0,1,,
Public Method,rx.CovarianceTest.testCovarianceOfFrom,,,,,,,,1,,4,,
Public Method,rx.CovarianceTest.testSortedList,,,,,,,,0.17,,12,,
Class,rx.CovarianceTest.testSortedList.(Anon_1),3,0,0,1,0,0,13,0,0,5,,
Public Method,rx.CovarianceTest.testSortedList.(Anon_1).call,,,,,,,,0,,3,,
Public Class,rx.EventStream,7,0,0,3,0,0,15,0.55,3,49,,
Public Static Class,rx.EventStream.Event,3,0,3,1,0,0,13,0.6,0,10,,
Public Constructor,rx.EventStream.Event.Event,,,,,,,,1.2,,5,,
Public Static Method,rx.EventStream.getEventStream,,,,,,,,0.09,,23,,
Class,rx.EventStream.getEventStream.(Anon_1),6,0,0,1,0,0,13,0.1,0,20,,
Public Method,rx.EventStream.getEventStream.(Anon_1).onSubscribe,,,,,,,,0.11,,18,,
Class,rx.EventStream.getEventStream.(Anon_1).onSubscribe.(Anon_2),7,0,0,3,0,0,13,0.08,0,13,,
Public Method,rx.EventStream.getEventStream.(Anon_1).onSubscribe.(Anon_2).call,,,,,,,,0.09,,11,,
Public Static Method,rx.EventStream.randomEvent,,,,,,,,0,,7,,
Private Static Method,rx.EventStream.randomIntFrom0to,,,,,,,,0.14,,7,,
Public Class,rx.GroupByTests,5,0,0,2,0,0,14,0.33,0,52,,
Public Method,rx.GroupByTests.testTakeUnsubscribesOnFlatMapOfGroupBy,,,,,,,,0.03,,30,,
