Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclClassMethod,CountDeclInstanceVariable
Class,nw::NwFormDatabaseService,100,1,1,4,0,,10,10,0,3
Private Struct,nw::NwFormDatabaseService::PendingQuery,0,0,0,1,0,,0,0,0,2
Class,nw::NwProtocolHandler,0,1,1,2,0,,3,3,0,0
Class,nw::NwRenderViewObserver,0,1,1,5,0,,9,9,0,0
Class,nw::Package,96,0,0,5,0,,21,21,0,6
Class,nw::ResourceRequestJob,100,1,1,3,0,,11,10,1,7
Class,nw::StandardMenusMac,100,0,0,1,0,,6,6,0,1
File,nw_form_database_service.cc,,,,,,0,,,,
File,nw_form_database_service.h,,,,,,1,,,,
File,nw_package.cc,,,,,,0,,,,
File,nw_package.h,,,,,,1,,,,
File,nw_protocol_handler.cc,,,,,,0,,,,
File,nw_protocol_handler.h,,,,,,1,,,,
File,nw_render_view_observer.cc,,,,,,0,,,,
File,nw_render_view_observer.h,,,,,,1,,,,
File,nw_shell.cc,,,,,,0,,,,
File,nw_shell.h,,,,,,1,,,,
File,nw_version.h,,,,,,0,,,,
Class,nwapi::App,0,0,0,4,0,,9,2,7,0
Class,nwapi::Base,85,0,0,3,0,,7,7,0,2
Class,nwapi::Clipboard,0,1,1,2,0,,13,8,0,0
Class,nwapi::CookieAPIContext,100,1,1,3,0,,1,1,0,6
Class,nwapi::Dispatcher,0,1,1,6,0,,13,10,3,0
Class,nwapi::DispatcherBindings,0,1,1,2,0,,18,4,14,0
Class,nwapi::DispatcherHost,99,1,1,6,0,,27,22,4,3
Abstract Class,nwapi::GlobalShortcutListener,100,0,0,2,0,,14,13,1,2
Public Abstract Class,nwapi::GlobalShortcutListener::Observer,0,0,0,1,0,,1,1,0,0
Class,nwapi::GlobalShortcutListenerMac,100,1,1,2,0,,31,17,2,8
Class,nwapi::GlobalShortcutListenerWin,100,1,2,2,0,,20,8,0,2
Class,nwapi::GlobalShortcutListenerX11,100,1,2,4,0,,21,9,0,4
Class,nwapi::Menu,0,1,1,4,0,,15,10,0,0
Class,nwapi::MenuDelegate,100,1,1,4,0,,11,11,0,1
Class,nwapi::MenuItem,0,1,1,3,0,,18,13,0,0
Class,nwapi::Shell,0,0,0,2,0,,3,2,1,0
Class,nwapi::Shortcut,83,1,2,3,0,,11,6,0,1
Class,nwapi::Tray,0,1,1,3,0,,18,13,0,0
Class,nwapi::TrayObserver,33,1,1,2,0,,3,3,0,1
Class,nwapi::Window,100,1,2,7,0,,25,20,0,2
Class,nwapi::WindowBindings,0,1,1,2,0,,9,4,5,0
File,paths_mac.h,,,,,,0,,,,
File,popup_controller_common.cc,,,,,,0,,,,
File,popup_controller_common.h,,,,,,1,,,,
Class,prerender::PrerendererClient,0,1,2,2,0,,3,3,0,0
File,prerenderer_client.cc,,,,,,0,,,,
File,prerenderer_client.h,,,,,,1,,,,
File,print_dialog_gtk.cc,,,,,,2,,,,
File,print_dialog_gtk.h,,,,,,1,,,,
File,print_job.cc,,,,,,0,,,,
File,print_job.h,,,,,,2,,,,
File,print_job_manager.cc,,,,,,0,,,,
File,print_job_manager.h,,,,,,1,,,,
File,print_job_worker.cc,,,,,,0,,,,
File,print_job_worker.h,,,,,,1,,,,
File,print_job_worker_owner.h,,,,,,1,,,,
File,print_messages.cc,,,,,,0,,,,
File,print_messages.h,,,,,,0,,,,
File,print_view_manager.cc,,,,,,0,,,,
File,print_view_manager.h,,,,,,1,,,,
File,print_view_manager_observer.h,,,,,,1,,,,
File,print_web_view_helper.cc,,,,,,1,,,,
File,print_web_view_helper.h,,,,,,2,,,,
File,print_web_view_helper_linux.cc,,,,,,0,,,,
File,print_web_view_helper_win.cc,,,,,,0,,,,
File,printer_query.cc,,,,,,0,,,,
File,printer_query.h,,,,,,1,,,,
Class,printing::JobEventDetails,94,1,1,2,0,,6,6,0,3
Class,printing::PrepareFrameAndViewForPrint,79,1,2,6,0,,16,16,0,12
Class,printing::PrintJob,100,1,3,8,0,,24,24,0,9
Class,printing::PrintJobManager,98,1,1,6,0,,11,11,0,5
Class,printing::PrintJobWorker,99,1,1,7,0,,20,20,0,6
Abstract Class,printing::PrintJobWorkerOwner,0,1,1,4,0,,6,6,0,0
Class,printing::PrintViewManager,100,1,4,8,0,,34,33,0,10
Abstract Class,printing::PrintViewManagerObserver,0,0,0,0,0,,2,2,0,0
Class,printing::PrintWebViewHelper,100,1,2,11,0,,50,47,3,18
Private Class,printing::PrintWebViewHelper::PrintPreviewContext,100,0,0,6,0,,29,29,0,13
Class,printing::PrinterQuery,99,1,1,6,0,,16,16,0,7
File,printing_message_filter.cc,,,,,,0,,,,
File,printing_message_filter.h,,,,,,1,,,,
File,printing_ui_web_contents_observer.cc,,,,,,0,,,,
File,printing_ui_web_contents_observer.h,,,,,,1,,,,
File,render_messages.cc,,,,,,0,,,,
File,render_messages.h,,,,,,0,,,,
File,resource.h,,,,,,0,,,,
File,resource_request_job.cc,,,,,,0,,,,
File,resource_request_job.h,,,,,,1,,,,
File,shell.cc,,,,,,0,,,,
File,shell.h,,,,,,1,,,,
File,shell_access_token_store.cc,,,,,,0,,,,
File,shell_access_token_store.h,,,,,,1,,,,
File,shell_application_mac.h,,,,,,0,,,,
File,shell_browser_context.cc,,,,,,1,,,,
File,shell_browser_context.h,,,,,,1,,,,
File,shell_browser_main.cc,,,,,,0,,,,
File,shell_browser_main.h,,,,,,0,,,,
File,shell_browser_main_parts.cc,,,,,,0,,,,
File,shell_browser_main_parts.h,,,,,,1,,,,
File,shell_content_browser_client.cc,,,,,,0,,,,
File,shell_content_browser_client.h,,,,,,1,,,,
File,shell_content_client.cc,,,,,,0,,,,
File,shell_content_client.h,,,,,,1,,,,
File,shell_content_main.cc,,,,,,0,,,,
File,shell_content_main.h,,,,,,0,,,,
File,shell_content_renderer_client.cc,,,,,,0,,,,
File,shell_content_renderer_client.h,,,,,,1,,,,
File,shell_devtools_delegate.cc,,,,,,1,,,,
File,shell_devtools_delegate.h,,,,,,1,,,,
File,shell_devtools_frontend.cc,,,,,,0,,,,
File,shell_devtools_frontend.h,,,,,,1,,,,
File,shell_download_manager_delegate.cc,,,,,,0,,,,
File,shell_download_manager_delegate.h,,,,,,1,,,,
File,shell_download_manager_delegate_gtk.cc,,,,,,0,,,,
File,shell_download_manager_delegate_win.cc,,,,,,0,,,,
File,shell_javascript_dialog.h,,,,,,1,,,,
File,shell_javascript_dialog_creator.cc,,,,,,0,,,,
File,shell_javascript_dialog_creator.h,,,,,,1,,,,
File,shell_javascript_dialog_gtk.cc,,,,,,0,,,,
File,shell_javascript_dialog_win.cc,,,,,,0,,,,
File,shell_login_dialog.cc,,,,,,0,,,,
File,shell_login_dialog.h,,,,,,1,,,,
File,shell_login_dialog_gtk.cc,,,,,,0,,,,
File,shell_login_dialog_win.cc,,,,,,0,,,,
File,shell_main.cc,,,,,,0,,,,
File,shell_main_delegate.cc,,,,,,0,,,,
File,shell_main_delegate.h,,,,,,1,,,,
File,shell_network_delegate.cc,,,,,,0,,,,
File,shell_network_delegate.h,,,,,,1,,,,
File,shell_quota_permission_context.cc,,,,,,0,,,,
