Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassCoupled,CountClassDerived,CountDeclClass,CountClassBase,CountDeclClassMethod,CountDeclInstanceMethod,CountDeclInstanceVariable
File,sqlite_persistent_cookie_store.h,,,,,1
File,standard_menus_mac.h,,,,,1
File,tray.cc,,,,,0
File,tray.h,,,,,1
File,tray_aura.cc,,,,,1
File,tray_gtk.cc,,,,,0
File,window.cc,,,,,0
File,window.h,,,,,2
File,window_bindings.cc,,,,,0
File,window_bindings.h,,,,,1
