Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassBase,CountClassCoupled,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod
File,"PrintRunOnGpu.java",,,,,,2,1,2
File,"PrintTest.java",,,,,,2,0,2
File,"PrivateFields.java",,,,,,17,0,17
File,"PutbackIterator.java",,,,,,5,2,5
File,"Random.java",,,,,,14,3,16
File,"ReadFile.java",,,,,,2,1,2
File,"ReadJar.java",,,,,,6,1,6
File,"ReadOnlyAnalyzer.java",,,,,,3,1,3
File,"ReadOnlyTypes.java",,,,,,5,3,5
File,"RefType1.java",,,,,,4,7,4
File,"RefTypeArrays.java",,,,,,2,0,2
File,"RefTypeArraysRunOnGpu.java",,,,,,3,4,3
File,"RegisterNamer.java",,,,,,2,1,3
File,"RemapRunOnGpu.java",,,,,,2,1,2
File,"RemapTest.java",,,,,,2,0,2
File,"RemoveStringSurrounding.java",,,,,,1,0,1
File,"ResourceReader.java",,,,,,0,0,3
File,"ResultIterator.java",,,,,,5,3,5
File,"ReverseClassHierarchy.java",,,,,,4,2,4
File,"Rootbeer.java",,,,,,6,1,6
File,"RootbeerCompiler.java",,,,,,30,5,30
File,"RootbeerFactory.java",,,,,,1,0,1
File,"RootbeerGpu.java",,,,,,0,0,4
File,"RootbeerPaths.java",,,,,,2,0,3
File,"RootbeerScene.java",,,,,,12,5,13
File,"RootbeerTest.java",,,,,,3,0,3
File,"RootbeerTestAgent.java",,,,,,5,5,5
File,"SafeUuidGenerator.java",,,,,,0,0,1
File,"SameClassUsedClass.java",,,,,,3,2,3
File,"SameClassUsedTwiceRunOnGpu1.java",,,,,,3,1,3
File,"SameClassUsedTwiceRunOnGpu2.java",,,,,,3,1,3
File,"SameClassUsedTwiceTest1.java",,,,,,2,0,2
File,"SameClassUsedTwiceTest2.java",,,,,,2,0,2
File,"SemiExpression.java",,,,,,8,4,8
File,"Sentinal.java",,,,,,0,0,0
File,"SerializationTest.java",,,,,,1,0,2
File,"SerializationTester.java",,,,,,5,4,5
File,"Serializer.java",,,,,,29,5,30
File,"ShortArrays.java",,,,,,2,0,2
File,"ShortArraysRunOnGpu.java",,,,,,3,4,3
File,"SimpleSynchronizedObject.java",,,,,,3,1,3
File,"SimpleSynchronizedRunOnGpu.java",,,,,,3,2,3
File,"SimpleSynchronizedTest.java",,,,,,2,0,2
File,"SimpleTest.java",,,,,,3,0,3
File,"SimpleTestRunOnGpu.java",,,,,,3,1,3
File,"SpecialInvokeFixup.java",,,,,,1,4,1
File,"Stack.java",,,,,,5,1,5
File,"Stack.java",,,,,,7,1,7
File,"StaticOffsets.java",,,,,,14,9,14
File,"StaticsTest1.java",,,,,,2,0,2
File,"StaticsTest1BaseClass.java",,,,,,1,0,1
File,"StaticsTest1RunOnGpu.java",,,,,,3,7,3
File,"StaticsTest2.java",,,,,,2,0,2
File,"StaticsTest2BaseClass.java",,,,,,1,0,1
File,"StaticsTest2PrivateClass.java",,,,,,0,0,3
File,"StaticsTest2PublicClass.java",,,,,,3,0,3
File,"StaticsTest2RunOnGpu.java",,,,,,3,7,3
File,"StaticsTest3.java",,,,,,2,0,2
File,"StaticsTest3BaseClass.java",,,,,,1,0,1
File,"StaticsTest3RunOnGpu.java",,,,,,3,7,3
File,"StepFilterRunOnGpu.java",,,,,,4,6,4
File,"StepFilterTest.java",,,,,,2,0,2
File,"Stopwatch.java",,,,,,5,2,5
File,"StrictMatchRunOnGpu.java",,,,,,3,5,3
File,"StrictMath.java",,,,,,1,0,51
File,"StrictMath.java",,,,,,1,0,51
File,"StrictMathTest.java",,,,,,2,0,2
File,"StringAndCommentTokenizer.java",,,,,,14,8,14
File,"StringDelegate.java",,,,,,1,0,1
File,"StringRunOnGpu.java",,,,,,3,2,3
File,"StringTest.java",,,,,,2,0,2
File,"SubsystemTest.java",,,,,,1,0,2
File,"SubsystemTest.java",,,,,,1,0,2
File,"SuperClass.java",,,,,,2,0,2
File,"SuperClassRunOnGpu.java",,,,,,4,3,4
File,"SynchronizedMethod2RunOnGpu.java",,,,,,4,2,4
File,"SynchronizedMethod2Shared.java",,,,,,1,1,1
File,"SynchronizedMethod2Test.java",,,,,,2,0,2
File,"SynchronizedMethod3Object.java",,,,,,2,2,2
File,"SynchronizedMethod3RunOnGpu.java",,,,,,3,2,3
File,"SynchronizedMethod3Test.java",,,,,,2,0,2
File,"SynchronizedMethodObject.java",,,,,,1,1,1
File,"SynchronizedMethodRunOnGpu.java",,,,,,3,1,3
File,"SynchronizedMethodTest.java",,,,,,2,0,2
File,"SynchronizedObjectRunOnGpu.java",,,,,,3,11,3
File,"SynchronizedObjectShared.java",,,,,,1,1,1
File,"SynchronizedObjectTest.java",,,,,,2,0,2
File,"SynchronizedStaticMethodRunOnGpu.java",,,,,,4,2,4
File,"SynchronizedStaticMethodShared.java",,,,,,0,0,1
File,"SynchronizedStaticMethodTest.java",,,,,,2,0,2
File,"SystemOutHandler.java",,,,,,3,0,3
File,"TemplateAttachmentPass.java",,,,,,3,5,3
File,"TemplateDetectionPass.java",,,,,,3,1,3
File,"TemplateStack.java",,,,,,5,2,5
File,"TestException.java",,,,,,2,0,2
File,"TestExceptionFactory.java",,,,,,1,0,1
File,"TestFilesListFactory.java",,,,,,6,2,6
File,"TestMain.java",,,,,,0,0,1
File,"TestSerialization.java",,,,,,2,0,2
File,"TestSerializationFactory.java",,,,,,1,0,1
File,"ToSpaceReader.java",,,,,,5,8,5
File,"ToSpaceWriter.java",,,,,,5,7,5
File,"ToSpaceWriterResult.java",,,,,,4,3,4
File,"Token.java",,,,,,12,5,12
File,"TokenizationSplitter.java",,,,,,1,0,2
File,"Tokenizer.java",,,,,,2,0,2
File,"Transform2.java",,,,,,3,1,3
File,"TrapItem.java",,,,,,5,4,5
File,"TreeNode.java",,,,,,7,3,7
File,"TrigraphReader.java",,,,,,6,7,6
File,"Tweaks.java",,,,,,5,0,7
File,"TypeAnnotatorPass.java",,,,,,2,1,2
File,"TypeTable.java",,,,,,4,2,5
File,"UnitAssembler.java",,,,,,22,7,22
File,"UnitsSuitableForGpu.java",,,,,,2,0,2
File,"VariableAgeCutoff.java",,,,,,20,4,20
File,"VisitorGen.java",,,,,,17,9,17
File,"VisitorReadGen.java",,,,,,13,9,13
File,"VisitorReadGenStatic.java",,,,,,7,5,7
File,"VisitorWriteGen.java",,,,,,17,19,17
File,"VisitorWriteGenStatic.java",,,,,,8,3,8
File,"WhileTrueRunOnGpu.java",,,,,,3,2,3
File,"WhileTrueTest.java",,,,,,2,0,2
File,"WriteJarEntry.java",,,,,,1,0,1
File,"WriteStream.java",,,,,,1,0,1
Package,"edu.syr.pcpratts.compressor",,,,,,33,10,34
Public Class,"edu.syr.pcpratts.compressor.Compressor",68,1,1,3,8,7,2,8
Public Class,"edu.syr.pcpratts.compressor.OpenCLLexer",98,2,1,2,14,14,3,14
Class,"edu.syr.pcpratts.compressor.OpenCLLexer.DFA1",0,2,1,1,2,2,0,2
Class,"edu.syr.pcpratts.compressor.OpenCLLexer.DFA10",0,2,1,1,2,2,0,2
Public Class,"edu.syr.pcpratts.compressor.OpenCLParser",84,2,1,1,7,7,1,7
Public Static Class,"edu.syr.pcpratts.compressor.OpenCLParser.program_return",75,2,1,0,1,1,4,1
Package,"edu.syr.pcpratts.deadmethods",,,,,,9,2,11
Public Class,"edu.syr.pcpratts.deadmethods.DeadMethods",60,1,1,8,10,9,2,10
Public Class,"edu.syr.pcpratts.deadmethods.DeadMethodsTest",0,1,1,11,1,0,0,1
Package,"edu.syr.pcpratts.jpp",,,,,,5,2,7
Public Class,"edu.syr.pcpratts.jpp.Jpp",33,1,1,7,3,3,1,3
Public Class,"edu.syr.pcpratts.jpp.JppSettings",50,1,1,0,3,2,1,3
Public Class,"edu.syr.pcpratts.jpp.Main",0,1,1,1,1,0,0,1
Package,"edu.syr.pcpratts.jpp.cfile",,,,,,51,14,51
Public Class,"edu.syr.pcpratts.jpp.cfile.CClass",0,2,1,4,13,7,1,7
Public Class,"edu.syr.pcpratts.jpp.cfile.CFile",0,1,1,2,5,5,1,5
Public Abstract Class,"edu.syr.pcpratts.jpp.cfile.CFileItem",58,1,1,2,6,6,2,6
Public Abstract Class,"edu.syr.pcpratts.jpp.cfile.CFileVisitor",50,1,1,5,4,4,1,4
Public Class,"edu.syr.pcpratts.jpp.cfile.CImport",0,2,1,0,7,1,0,1
Public Class,"edu.syr.pcpratts.jpp.cfile.CMethod",14,2,1,3,13,7,1,7
Public Class,"edu.syr.pcpratts.jpp.cfile.CNamespace",33,2,1,1,9,3,1,3
Public Class,"edu.syr.pcpratts.jpp.cfile.CParsedStatement",100,2,1,0,7,1,1,1
Public Class,"edu.syr.pcpratts.jpp.cfile.CStatement",35,2,1,1,13,7,2,7
Public Class,"edu.syr.pcpratts.jpp.cfile.CTemplate",0,2,1,1,9,3,1,3
Public Class,"edu.syr.pcpratts.jpp.cfile.CType",44,2,1,3,12,6,3,6
Public Interface,"edu.syr.pcpratts.jpp.cfile.Pass",0,0,0,2,1,1,0,1
Package,"edu.syr.pcpratts.jpp.cfile.internal",,,,,,42,20,42
Public Class,"edu.syr.pcpratts.jpp.cfile.internal.CFileFactory",0,1,1,7,2,2,0,2
Public Class,"edu.syr.pcpratts.jpp.cfile.internal.ClassPass",50,1,2,6,4,4,1,4
Class,"edu.syr.pcpratts.jpp.cfile.internal.ClassesMethodsPass",55,1,2,7,3,3,3,3
Public Class,"edu.syr.pcpratts.jpp.cfile.internal.FixupTokens",0,1,1,7,2,2,1,2
Public Class,"edu.syr.pcpratts.jpp.cfile.internal.MethodPass",33,1,2,6,3,3,1,3
Class,"edu.syr.pcpratts.jpp.cfile.internal.NamespacePass",50,1,2,7,4,4,3,4
